cluster,seasonal_rainfall_total_mean,seasonal_rainfall_total_std,onset_date_mean,onset_date_std,cessation_date_mean,cessation_date_std,rainy_days_count_mean,rainy_days_count_std,dry_spell_days_mean,dry_spell_days_std,onset_delay_days_mean,onset_delay_days_std,onset_threshold_mean,onset_threshold_std,rainy_day_threshold_mean,rainy_day_threshold_std,dry_spell_threshold_mean,dry_spell_threshold_std,rainfall_std_dev_mean,rainfall_std_dev_std,rainfall_skewness_mean,rainfall_skewness_std,mean_temp_season_mean,mean_temp_season_std,max_temp_avg_mean,max_temp_avg_std,min_temp_avg_mean,min_temp_avg_std,gdd_total_mean,gdd_total_std,gdd_base_temp_mean,gdd_base_temp_std,heatwave_days_mean,heatwave_days_std,heatwave_threshold_mean,heatwave_threshold_std,mean_soil_moisture_mean,mean_soil_moisture_std,dry_soil_days_mean,dry_soil_days_std,dry_threshold_mean,dry_threshold_std,soil_moisture_std_mean,soil_moisture_std_std,ndvi_peak_mean,ndvi_peak_std,ndvi_scale_mean,ndvi_scale_std,ndvi_seasonal_avg_mean,ndvi_seasonal_avg_std,ndvi_start_of_season_mean,ndvi_start_of_season_std,ndvi_end_of_season_mean,ndvi_end_of_season_std,ndvi_integral_mean,ndvi_integral_std,ndvi_threshold_mean,ndvi_threshold_std,ndvi_anomaly_avg_mean,ndvi_anomaly_avg_std,n_years
0,-0.10769405545977458,0.7653668524307797,1.0,0.0,1.0,0.0,-0.35512755226823495,0.6702341665468707,0.04142781403177655,0.9734045855645884,5.549382716049383,8.851467555013881,8.233015517027255,7.413910400019321,11.650034115638261,1.6557883457518923,11.650034115638261,1.6557883457518923,-0.007301655174016986,0.6343533263295581,-1.2177003116906793,0.7558084043388957,-0.008888052383873043,1.0359097365509553,22.014369645188328,0.8634507707432946,11.03065158448723,0.7739411333912561,-0.32245993743735935,0.21490296573274814,16.257051086425804,0.7548545903023621,-0.25768713155432177,0.4790709558048961,25.310401655988017,1.348559861576861,0.08216241069553154,0.8020748112648123,-0.1448463563740333,0.6195415955917005,2.9772097389872485,0.8232747440719046,-0.22212832056862364,0.5839555191352452,-8.672162923952362e-06,7.568486673438559e-05,0.5093425250614221,0.04100170533967445,1.1779515716432824e-05,9.204237065663643e-05,1.0,0.0,1.0,0.0,-2.218115725033963e-05,5.831418475076288e-05,0.30812650245230583,0.04006463254730042,1.522567474493751e-07,0.00010122933407152358,162.0
1,1.0319220564946145,1.0483359183928487,1.0,0.0,1.0,0.0,1.1344534151038395,0.9238122863075584,0.901176490337044,0.4047885326148598,0.84375,2.447575330812108,0.001011823214066678,0.0027670673844038297,10.172817332819104,1.936383593438231,10.172817332819104,1.936383593438231,1.2452454817294856,0.0,-1.708005541378801,0.0,-0.1518707558595546,0.530316256663067,22.47866612844971,0.3851575151583964,10.392441136125502,0.42983662651016885,2.1063859225335544,0.931416999903902,14.302391529083275,0.7340116254665584,2.1745649283821167,0.6052092334477902,26.082072067260764,0.6096541083735911,-0.9957637188417666,0.6842882025923576,1.87601363142817,1.293147351205236,2.0070574283599854,0.2302474565156377,-0.2949930652258353,0.0,3.701481416104262e-05,8.824052685854904e-05,0.5340931000855353,0.0478036394510568,-5.5993282594146947e-05,4.139853253777004e-05,1.0,0.0,1.0,0.0,0.00017404518390493157,8.31738030465848e-05,0.2674110217089791,0.022647767171546377,5.369981223022667e-06,0.00010642984708966632,16.0
2,0.3122821926047067,0.9283868372033841,1.0,0.0,1.0,0.0,0.2512794234936657,0.8183340879251422,-0.6545022853359743,0.35997296086359815,13.59375,26.332753932854658,15.894311987087132,9.889879748577407,10.772856172546744,1.8526912719144688,10.772856172546744,1.8526912719144688,0.6855952943049113,0.0,-1.93030027484835,0.0,-0.6300578945654367,0.47436246723509357,21.32971222025658,0.35092205891235023,11.031993622882293,0.4104346122955654,-0.55550434321432,0.09128639934088341,16.382822179794335,0.3621473953366824,-0.06975264565343904,0.4370955574900708,24.71007199287417,0.5902702985376745,1.1001530127782864,0.9093149482828151,0.061913652014981085,0.368078256692531,7.81614252626896,2.517410411786482,1.0032529736030114,0.0,3.701481416104262e-05,8.824052685854904e-05,0.5340931000855353,0.0478036394510568,9.911269002509478e-05,5.3238865034746546e-05,1.0,0.0,1.0,0.0,-1.9247318254779596e-05,5.998161423417528e-05,0.3535850205480555,0.03479524187276487,5.369981223022742e-06,0.00010642984708966632,16.0
3,-1.1094773667273157,0.515670152174266,1.0,0.0,1.0,0.0,-0.9637538861760888,0.48766483874123423,-0.9322217808876778,0.2395162362168942,4.233333333333333,5.582686629938478,3.4463452368974687,4.309562117160022,10.294340551694233,2.793807683633599,10.294340551694233,2.793807683633599,-1.1015588898229693,0.0,-0.2192892187248065,0.0,1.273948084803603,0.5446817229909712,23.262892782060423,0.5025297333002051,11.585070875672633,0.39989903351139466,-0.1591513137574686,0.20499231428140258,16.593665568033877,0.7747371384201222,-0.6329334601117994,0.0,26.66839650472008,0.7622393456652726,-1.2527707335405112,0.8324443872195985,-0.5042257618501977,0.6720550638493521,2.2464541800816855,0.2841576750338037,0.412790677112186,0.0,-0.00016262489701017745,7.742250328268968e-05,0.4259397932921555,0.041943056825316204,-0.00011596754978153087,8.333427562035644e-05,1.0,0.0,1.0,0.0,-9.994998798065389e-05,2.1977882828402718e-05,0.28042186897532595,0.03733629562631498,5.369981223022714e-06,0.00010642984708966632,15.0
4,-0.3335406612063087,0.7362923725100724,1.0,0.0,1.0,0.0,-0.019322708615848883,0.758118690895985,-0.026647896950593573,0.9752657142452057,4.62962962962963,7.288115816869984,7.757442428954582,7.2833864495961365,9.5464982138151,1.8134809702497152,9.5464982138151,1.8134809702497152,-0.2336493489830528,0.7063387194984336,-1.2626177595322146,0.7583548318112445,0.08099042017892566,1.0846784217292693,22.1647591239255,0.9078667452186907,11.054269736011545,0.7739411333912561,-0.38231058192685047,0.20164470352220817,16.338140275743296,0.7548545903023621,-0.5133859572085322,0.4790709558048961,25.327884485692177,1.348559861576861,-0.15396568796145166,0.8588312307415163,-0.3370000847355663,0.6657910247511081,3.162845482649627,0.8232747440719046,-0.22212832056862364,0.4589621108250289,-2.1866059055783447e-05,0.00011876220509758093,0.5021948314098215,0.06433852828188535,-4.019101992927484e-05,0.00011182502961723309,1.0,0.0,1.0,0.0,-3.9481863294205745e-05,6.7217665016764e-05,0.2855110106204494,0.044681307102938994,8.948544579978066e-06,0.00010531915901701462,162.0
5,0.6155227647658454,0.9477036856570348,1.0,0.0,1.0,0.0,0.539166612247079,0.9205177235120808,0.22034658201097745,0.9841284313159822,2.154077175100109,6.015244419860188,6.95511149719367,10.419530343162752,10.863152418747854,1.657166755388273,10.863152418747854,1.657166755388273,0.4771756696333093,0.6793685164625496,-1.4635923203182626,0.4334117413160463,0.012988340871005782,0.757785272609715,22.223120795679804,0.5941914107935794,10.881389764958685,0.7350911485016867,0.6182346820534971,1.385844040212759,15.581744621424077,1.451667289766337,0.6819443701688238,1.1344143267227418,25.966805610309592,1.0161084235207882,-0.14366240922442025,0.9032113038403267,0.566142005768044,1.0937221573429279,3.011075188571599,2.0224253962998646,0.22262009257883653,0.7629006860446503,3.944886975576443e-05,6.57289613181049e-05,0.5354117313335154,0.03560816872025219,3.2610084607324463e-06,7.564607229979012e-05,1.0,0.0,1.0,0.0,7.241094525712058e-05,0.000103895461727192,0.2924743704128435,0.044294702242282234,-7.004919320340725e-06,9.668303241809109e-05,417.0
6,0.9013139882161736,1.0139947363082351,1.0,0.0,1.0,0.0,0.81664459236533,0.8939551818094942,-0.8477090225607429,0.2919672679516814,4.84375,6.596171010787673,3.8091499330475926,5.367179575851956,10.823578445278109,2.1117021055641936,10.823578445278109,2.1117021055641936,1.0850187521918244,0.0,-1.7567211173569173,0.0,0.38852391361880045,0.5090609072754326,22.168805431363285,0.45344826891393575,11.50440739025558,0.3511753553835509,-0.16676389307340173,0.24813240852508603,16.626292896270776,0.6805661367458351,0.3589372280387456,0.33622735191543895,26.319982624053978,0.7684128984811355,0.22047014297671416,0.9566781704218619,0.29853538846017963,0.8535028227084186,2.4213035687804223,0.4186933899226589,1.253808086608743,0.0,3.701481416104262e-05,8.824052685854904e-05,0.5340931000855353,0.0478036394510568,2.2541361057511037e-05,6.950583496175682e-05,1.0,0.0,1.0,0.0,1.7603547865100164e-05,6.65723429462988e-05,0.3034783980014024,0.05372521486273116,5.3699812230227e-06,0.00010642984708966632,16.0
7,-0.298304041821461,0.7140835437966515,1.0,0.0,1.0,0.0,-0.29785457353443345,0.6355835444699041,-1.1060493378075347,0.3042810247285337,5.089506172839506,8.069791685941933,7.926221485289137,6.9720454521987065,10.882779829612485,1.8529493136219892,10.882779829612485,1.8529493136219892,-0.13915330411892113,0.5702456965073717,-1.243166630518307,0.7993460567537041,0.1522494534354487,0.9957314593608947,21.807116929476752,1.2102951554666603,11.535744174476125,0.38431789422462925,-0.44157096050093153,0.23592652721139815,16.338140275743296,0.7003308868408216,-0.7209337053044822,0.37273663941686086,25.114375276918786,1.6950085815911802,0.5948008742684271,1.5679058587118102,-0.679760789380463,0.4292028306320967,6.565568460652857,6.21030916276751,1.2406984741496376,0.7611197770456394,-3.269964268896452e-05,0.00010232569379124815,0.49632581924046265,0.05543417233237154,2.3631297896364946e-05,0.0001440649931504415,1.0,0.0,1.0,0.0,-7.127984043073849e-05,2.749203397700999e-05,0.3244984663655254,0.06987986942112515,9.401180879889361e-06,9.919003334405032e-05,162.0
