kebele,year,seasonal_rainfall_total,onset_date,cessation_date,rainy_days_count,dry_spell_days,data_quality_flag,onset_delay_days,onset_threshold,rainy_day_threshold,dry_spell_threshold,rainfall_std_dev,rainfall_skewness,mean_temp_season,max_temp_avg,min_temp_avg,gdd_total,gdd_base_temp,heatwave_days,heatwave_threshold,mean_soil_moisture,dry_soil_days,dry_threshold,soil_moisture_std,ndvi_peak,ndvi_scale,ndvi_seasonal_avg,ndvi_start_of_season,ndvi_end_of_season,ndvi_integral,ndvi_threshold,ndvi_anomaly_avg,crop_Banana,crop_Bean,"crop_Bean, broad",crop_Carrot,crop_Chick-pea,"crop_Chilli, dry",crop_Coffee,"crop_Corn, sweet",crop_Enset,crop_Garlic,crop_Lentil,crop_Mandarin,crop_Mango,"crop_Mustard, Ethiopian",crop_Oil flax,crop_Onion,"crop_Pea, dry",crop_Rice,crop_Safflower,crop_Sesame,crop_Sorghum,crop_Soybean,crop_Sweet potato,crop_Teff,crop_Tomato,"crop_Wheat, Emmer","crop_Wheat, bread","crop_Wheat, durum"
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2010,2.2711379931434643,1.0,1,1.1344534151038395,1.0469928957896995,OK,0.0,0.0,13.056550979614258,13.056550979614258,1.3474462721180407,-1.681527271680933,-0.6529921520270837,21.927781844925114,10.238028993711389,1.899386972206134,14.133393859863304,2.325867236744064,24.522509765625028,-0.8664378965090203,2.244091888120701,1.9502638459205626,-0.29499306522583535,0.9527565722046017,0.5656554721030045,0.39753985436437206,0.0049,0.0337,2.596792329923114,0.3030003061095683,2.1729769223310718,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2011,1.4528446819961651,1.0,1,0.4921450575691676,0.8136866470654507,OK,0.0,0.0,13.060388565063477,13.060388565063477,1.3474462721180407,-1.681527271680933,-0.8786046942437561,22.22116685804432,9.621957816658462,0.6832134105637876,15.110697937011745,2.325867236744064,26.41629943847658,-0.8664378965090203,2.244091888120701,1.9502638459205626,-0.29499306522583535,1.361152173604993,0.5877799955819238,-0.20019827842491963,0.0001,0.0353,2.238630454130183,0.2658810432971472,0.48676394174024384,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,0.7922260489881982,1.0,1,0.599196450491613,1.221972582332886,OK,0.0,0.0,11.82026720046997,11.82026720046997,1.3474462721180407,-1.681527271680933,-0.5420154585809384,22.38502431373076,9.939512822399424,2.266049087550657,13.946357727050804,2.325867236744064,25.904248046875026,-0.8664378965090203,2.244091888120701,1.9502638459205626,-0.29499306522583535,1.5483771193810152,0.5979227657157283,-0.7040701447867007,0.0001,0.0353,1.9367128033802052,0.2559270272658419,-0.9346532893288472,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,1.0469854905197507,1.0,1,1.0274020221813942,0.5220538361601397,OK,0.0,0.0,11.189619064331056,11.189619064331056,1.3474462721180407,-1.681527271680933,-0.6368935174862731,22.29519034584802,9.893645837804796,1.898363136520151,14.196603393554712,2.325867236744064,25.80723114013674,-0.8664378965090203,2.244091888120701,1.9502638459205626,-0.29499306522583535,0.7391825271877847,0.5540852594041911,-0.17196749246758808,0.0081,0.0353,2.2555462082019595,0.2700570884877556,0.5664026917584134,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2014,-0.023510382031307862,1.0,1,-0.04311190704305895,0.8428499281559818,OK,0.0,0.0,11.243422508239746,11.243422508239746,1.3474462721180407,-1.681527271680933,-0.06731061960689703,22.40738034091155,10.596111440134596,2.319160331025437,14.25424499511721,2.325867236744064,26.080007934570336,-0.8664378965090203,2.244091888120701,1.9502638459205626,-0.29499306522583535,1.1907492386920078,0.5785485451906085,-0.5834238437271541,0.0049,0.0353,2.0090034991290704,0.270529803711184,-0.5943113440064671,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,-0.08298732844015995,1.0,1,-0.25721469288794957,1.8635647663245702,OK,0.0,0.0,10.838438034057615,10.838438034057615,1.3474462721180407,-1.681527271680933,0.5320990322693069,23.215815885774404,10.644991713303808,3.1461408384000134,14.049708557128929,2.325867236744064,26.95093078613284,-0.39018864483289556,0.9821092937463088,2.3376171588897705,-0.29499306522583535,0.6631272952526289,0.5499650246149963,-0.6412412408016146,0.0001,0.0353,1.9743595869312296,0.244545694269124,-0.7574136125466886,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,1.7211659449991858,1.0,1,0.7062478434140582,0.8720132092465128,OK,0.0,0.0,11.528607845306396,11.528607845306396,1.3474462721180407,-1.681527271680933,0.11132007795280366,22.57527741732665,10.683703947720485,0.7966591366202964,15.718074035644554,2.325867236744064,26.093487548828147,-0.14233465006836388,2.244091888120701,2.7530412673950195,-0.29499306522583535,0.059882642432222966,0.5172847008331231,-0.05074639009553914,0.0065,0.0353,2.3281813221918592,0.2772362926028779,0.9083661455327958,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,1.5751681362705263,1.0,1,0.8132992363365036,1.0469928957896995,OK,0.0,0.0,11.825769424438477,11.825769424438477,1.3474462721180407,-1.681527271680933,-0.22290867402528167,22.50714507050569,10.273799954927908,4.438993216430495,12.56360778808596,2.325867236744064,26.880162048339862,-1.0647976443082878,2.244091888120701,1.9571433067321773,-0.29499306522583535,0.35405407610277995,0.5332212162332749,-0.6263961679901234,0.0001,0.0353,1.983254684688562,0.2696091170159049,-0.7155358184100774,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,1.2254735259299627,1.0,1,1.5626589867936207,1.4261155499666038,OK,0.0,0.0,10.299379348754885,10.299379348754885,1.3474462721180407,-1.681527271680933,-0.5083056184043503,22.035797555106047,10.336953651512085,2.5531362689213113,13.734683227539085,2.325867236744064,25.06311950683596,-0.921636918111004,2.664752752912165,1.943384385108948,-0.29499306522583535,-0.6849804965088127,0.4769323024488766,-1.052315986822192,0.0049,0.0353,1.7280455339214416,0.2609920992173694,-1.9170511439492939,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2019,1.8596083168818962,1.0,1,1.241504808026285,0.6970335227033263,OK,0.0,0.0,12.67786979675293,12.67786979675293,1.3474462721180407,-1.681527271680933,0.21312635608026553,22.559445576091413,10.84514594444864,2.1881353780358808,14.526573181152369,2.325867236744064,26.44361267089846,-0.8112388749070364,2.244091888120701,1.9413535594940183,-0.29499306522583535,-0.42007799514343824,0.4912831955314314,-0.22500833190659733,0.0081,0.0353,2.223764386857455,0.2904566965412775,0.4167750420280267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2020,1.7782329946717448,1.0,1,1.7767617726385114,1.0178296146991683,OK,0.0,0.0,10.99033498764038,10.99033498764038,1.3474462721180407,-1.681527271680933,1.337096544445739,23.49173114237363,11.52043779782602,0.5722600940833027,15.62130279541018,-0.09496969704709697,26.684106445312523,-0.7572737198956933,2.244091888120701,1.801712989807129,-0.29499306522583535,-0.431962608139107,0.4906393555920224,-0.1702592571640555,0.0001,0.0337,2.2565697747556843,0.3054555345872254,0.5712216055681762,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
