crop,region,kebele,year,ndvi_peak,ndvi_scale,ndvi_seasonal_avg,ndvi_start_of_season,ndvi_end_of_season,ndvi_integral,ndvi_threshold,ndvi_anomaly_avg
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2023,0.4630780958091391,0.4630780958091391,0.4423690750441809,225,257.0,1.7694763001767235,0.42895715475889934,1.736935018751947
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2024,0.505475681646049,0.505475681646049,0.4116865990280232,97,,5.7636123863923245,0.35607889106286295,0.5813167820495122
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2025,0.4566616952789701,0.4566616952789701,0.38874991654744884,97,,3.4987492489270395,0.35276174703357743,-0.28256553794469563
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2010,0.5813803946028518,0.5813803946028518,0.42090607214133097,97,,5.892685009978633,0.3608477555189472,0.9882358788535032
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2011,0.5960023778004075,0.5960023778004075,0.382463982761129,81,,5.354495758655806,0.24714363594704686,-0.08494595776478933
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2012,0.5677936863543791,0.5677936863543791,0.3544716575138203,97,,4.962603205193484,0.24933711914460294,-0.8664033526272705
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2013,0.5678876909368638,0.5678876909368638,0.40488559081320946,97,,5.668398271384932,0.31327420162932806,0.54099459066075
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2014,0.5748117133401224,0.5748117133401224,0.35524937609106794,97,,4.9734912652749514,0.23928536048879845,-0.8446919039375796
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2015,0.5805141827902245,0.5805141827902245,0.3610269266438756,81,,5.054376973014258,0.2095262790224033,-0.6834009227920442
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2016,0.577827156313646,0.577827156313646,0.4021358903113182,113,,5.629902464358454,0.3471119857433811,0.46423162896050296
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,0.5611773065173119,0.5611773065173119,0.3668648727087577,81,,5.136108217922608,0.25412787321792263,-0.5204238895193583
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,0.5103108757637476,0.5103108757637476,0.36144915296770447,113,,5.060288141547862,0.2618924042769858,-0.6716136961094948
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2019,0.5316863365580452,0.5316863365580452,0.4094831391838815,113,,5.732763948574341,0.30226647657841155,0.66934363422029
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2020,0.550370985234216,0.550370985234216,0.4048001958466688,81,,5.667202741853363,0.30779962016293294,0.5386106326473429
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2021,0.5594708630346235,0.5594708630346235,0.383019576120163,65,,5.362274065682282,0.25030671843177194,-0.06943554428117263
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2022,0.5458202494908353,0.5458202494908353,0.35278400149112615,81,,4.938976020875766,0.24892990987780056,-0.9135173836077929
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2023,0.4993382306517312,0.4993382306517312,0.48173694373727105,225,273.0,1.9269477749490842,0.46733578105906337,2.686441870124196
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2024,0.5471249923625257,0.5471249923625257,0.39229294151876654,97,,5.492101181262732,0.3100015728105907,0.18944755678229913
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2025,0.3845474898167006,0.3845474898167006,0.3345385384136683,81,,3.010846845723015,0.29580854073319757,-1.4228731416093772
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2010,0.5656554721030045,0.5656554721030045,0.4345106061442818,97,,6.952169698308508,0.3702603004291845,1.8631040032475121
