crop,region,kebele,year,mean_temp_season,max_temp_avg,min_temp_avg,gdd_total,gdd_base_temp,heatwave_days,heatwave_threshold
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2010,16.530370108429114,21.644265131244765,11.41647508561346,252.4789764404292,15.4897888183594,12,24.641125488281272
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2011,16.38068823023229,22.047568200628874,10.713808259835712,205.93076324462893,15.947877502441429,12,26.76615905761721
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,16.569627720969088,21.936840220860095,11.202415221078079,208.66459045410159,15.837181091308617,12,26.170869445800804
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,16.527218244749356,21.9543888656548,11.100047623843912,108.75237121582043,16.812901306152366,12,26.087054443359396
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2014,17.099844743531936,22.460908131962956,11.738781355100919,339.7521286010742,15.691529846191429,12,26.492504882812522
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,17.28038023533845,23.04570416506098,11.515056305615913,188.89459533691416,16.666096496582053,12,27.756765747070332
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,17.0953775405884,22.235302679879346,11.955452401297455,65.82039794921873,18.021711730957055,12,26.77422332763674
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,17.08296044867137,22.436920631306077,11.729000266036666,174.3455123901366,16.772639465332055,12,27.129748535156274
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,16.245730946630665,21.376008913869835,11.115452979391486,120.71217498779284,15.957148742675805,12,24.82165527343752
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2019,16.996585028267784,22.01763825694544,11.975531799590128,127.37822875976553,17.404177856445337,12,26.62671813964846
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2020,17.67035805993049,23.307500701255012,12.03321541860596,44.618591308593764,18.089151000976585,7,26.849877929687523
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2010,16.530370108429114,21.644265131244765,11.41647508561346,252.4789764404292,15.4897888183594,12,24.641125488281272
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2011,16.38068823023229,22.047568200628874,10.713808259835712,205.93076324462893,15.947877502441429,12,26.76615905761721
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2012,16.569627720969088,21.936840220860095,11.202415221078079,208.66459045410159,15.837181091308617,12,26.170869445800804
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2013,16.527218244749356,21.9543888656548,11.100047623843912,108.75237121582043,16.812901306152366,12,26.087054443359396
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2014,17.099844743531936,22.460908131962956,11.738781355100919,339.7521286010742,15.691529846191429,12,26.492504882812522
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2015,17.28038023533845,23.04570416506098,11.515056305615913,188.89459533691416,16.666096496582053,12,27.756765747070332
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2016,17.0953775405884,22.235302679879346,11.955452401297455,65.82039794921873,18.021711730957055,12,26.77422332763674
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,17.08296044867137,22.436920631306077,11.729000266036666,174.3455123901366,16.772639465332055,12,27.129748535156274
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,16.245730946630665,21.376008913869835,11.115452979391486,120.71217498779284,15.957148742675805,12,24.82165527343752
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2019,16.996585028267784,22.01763825694544,11.975531799590128,127.37822875976553,17.404177856445337,12,26.62671813964846
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2020,17.67035805993049,23.307500701255012,12.03321541860596,44.618591308593764,18.089151000976585,7,26.849877929687523
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2010,16.42556953284021,21.762805783794324,11.088333281886097,293.93976898193364,15.38010406494143,13,24.612359619140648
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2011,16.154842543327966,22.05166588560377,10.258019201052166,137.53872680664065,16.623040771484398,13,26.557214355468773
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,16.410683738184364,22.06715819380668,10.754209282562046,296.7592102050783,15.420063781738303,14,26.16237945556643
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,16.35297756852777,21.977565815074257,10.728389321981284,138.934832763672,16.565441894531272,13,26.092309570312523
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2014,16.919984640654956,22.37897369267842,11.460995588631487,234.38369750976568,16.40802154541018,13,26.296960449218773
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,17.232998587071233,23.15066525981803,11.315331914324435,233.46755828857437,16.51520233154299,13,27.619409179687523
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,16.993536982645537,22.378103777470503,11.608970187820574,94.93943481445321,17.689221191406272,14,26.380514526367215
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,16.971587000587455,22.38735924497877,11.555814756196144,240.6463470458986,16.361584472656272,13,27.0695739746094
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,16.294574231845687,21.620159023474937,10.968989440216438,148.96214904785137,15.957148742675805,13,25.064355468750023
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2019,16.875075393618317,22.096362912700574,11.65378787453606,139.9480712890624,17.404177856445337,13,26.567590332031276
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2020,17.660408317002698,23.347206105481884,11.973610528523512,163.24331665039062,16.754861450195335,8,26.794482421875024
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2010,16.42556953284021,21.762805783794324,11.088333281886097,293.93976898193364,15.38010406494143,13,24.612359619140648
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2011,16.154842543327966,22.05166588560377,10.258019201052166,137.53872680664065,16.623040771484398,13,26.557214355468773
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2012,16.410683738184364,22.06715819380668,10.754209282562046,296.7592102050783,15.420063781738303,14,26.16237945556643
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2013,16.35297756852777,21.977565815074257,10.728389321981284,138.934832763672,16.565441894531272,13,26.092309570312523
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2014,16.919984640654956,22.37897369267842,11.460995588631487,234.38369750976568,16.40802154541018,13,26.296960449218773
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2015,17.232998587071233,23.15066525981803,11.315331914324435,233.46755828857437,16.51520233154299,13,27.619409179687523
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2016,16.993536982645537,22.378103777470503,11.608970187820574,94.93943481445321,17.689221191406272,14,26.380514526367215
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,16.971587000587455,22.38735924497877,11.555814756196144,240.6463470458986,16.361584472656272,13,27.0695739746094
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,16.294574231845687,21.620159023474937,10.968989440216438,148.96214904785137,15.957148742675805,13,25.064355468750023
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2019,16.875075393618317,22.096362912700574,11.65378787453606,139.9480712890624,17.404177856445337,13,26.567590332031276
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2020,17.660408317002698,23.347206105481884,11.973610528523512,163.24331665039062,16.754861450195335,8,26.794482421875024
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2010,16.303271922498666,21.353560585550763,11.252983259446571,56.654351806640534,16.642497253417993,11,24.179025268554714
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2011,15.717693759427235,21.16505350547264,10.270334013381829,58.77540588378897,16.850631713867212,11,25.634375000000023
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,16.16205258511083,21.268000627272222,11.056104542949434,88.8884826660155,16.283137512207055,11,24.714343261718774
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,15.93519488041946,21.13323318934679,10.737156571492132,44.89681854248042,16.932978820800805,11,25.13121337890627
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2014,16.68701807909675,21.91483852273169,11.45919763546181,78.88204345703137,17.35972595214846,11,26.180203247070335
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,16.989138476683383,22.385691969465523,11.592584983901244,98.54038085937495,16.900000000000023,11,25.839695739746116
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,16.424321935672594,21.48883685121444,11.359807020130745,81.5880310058595,16.582290649414084,11,24.419143676757834
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,16.638123857857,21.675102248994452,11.601145466719545,46.244914245605415,17.75356597900393,11,26.944761657714864
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,16.021783673881327,21.175273721525006,10.868293626237646,36.08303527832029,16.458097839355492,11,24.35724792480471
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2019,16.270560629060977,21.08287057404473,11.458250684077218,42.76916503906245,17.552859497070337,11,25.7035110473633
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2020,17.0542920401927,22.087970930806726,12.020613149578674,54.74979400634763,16.719145202636742,5,25.300988769531273
Teff,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2010,16.303271922498666,21.353560585550763,11.252983259446571,56.654351806640534,16.642497253417993,11,24.179025268554714
