crop,region,kebele,year,mean_soil_moisture,dry_soil_days,dry_threshold,soil_moisture_std
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,17.489575933237546,6,2.3376171588897705,4.051891514738563
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,18.69960235754649,8,3.574060869216919,4.051891514738563
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,15.06323143641154,8,2.37563533782959,4.051891514738563
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,16.569972993554295,8,2.5811536073684693,4.051891514738563
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2019,16.267930125868,8,3.1307897090911867,4.051891514738563
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2020,16.273044656117758,8,1.8950894355773924,4.051891514738563
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2021,12.37906571229299,8,2.2110448360443113,4.051891514738563
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2022,5.905953080565841,0,1.7824561595916748,4.051891514738563
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2015,17.489575933237546,6,2.3376171588897705,4.051891514738563
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2016,18.69960235754649,8,3.574060869216919,4.051891514738563
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,15.06323143641154,8,2.37563533782959,4.051891514738563
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,16.569972993554295,8,2.5811536073684693,4.051891514738563
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2019,16.267930125868,8,3.1307897090911867,4.051891514738563
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2020,16.273044656117758,8,1.8950894355773924,4.051891514738563
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2021,12.37906571229299,8,2.2110448360443113,4.051891514738563
"Corn, sweet",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2022,5.905953080565841,0,1.7824561595916748,4.051891514738563
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,16.445880574239812,7,2.445138931274414,3.8340786047747857
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,18.181137815289112,9,3.3480221271514896,3.8340786047747857
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,14.865375346150891,9,2.4078297138214113,3.8340786047747857
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,15.531924214856378,9,2.298850965499878,3.8340786047747857
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2019,15.71199207607357,9,2.5701731204986573,3.8340786047747857
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2020,15.89845009507804,9,1.8882935523986815,3.8340786047747857
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2021,12.645623671597448,9,2.196714925765991,3.8340786047747857
Sorghum,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2022,5.688926926830359,0,1.7824561595916748,3.8340786047747857
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2015,16.445880574239812,7,2.445138931274414,3.8340786047747857
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2016,18.181137815289112,9,3.3480221271514896,3.8340786047747857
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,14.865375346150891,9,2.4078297138214113,3.8340786047747857
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,15.531924214856378,9,2.298850965499878,3.8340786047747857
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2019,15.71199207607357,9,2.5701731204986573,3.8340786047747857
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2020,15.89845009507804,9,1.8882935523986815,3.8340786047747857
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2021,12.645623671597448,9,2.196714925765991,3.8340786047747857
Sorghum,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2022,5.688926926830359,0,1.7824561595916748,3.8340786047747857
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,17.287435745125386,7,5.737385272979736,4.398203481388036
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,22.124439951199204,7,15.649603843688965,4.398203481388036
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,17.9624681262409,7,6.188476085662842,4.398203481388036
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,19.140756891734565,7,9.680967140197755,4.398203481388036
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2019,19.201012974354757,7,9.264859580993651,4.398203481388036
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2020,19.995277760633783,7,10.707714462280276,4.398203481388036
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2021,15.470618865069222,7,4.344786834716797,4.398203481388036
Teff,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2022,7.599489021945644,4,2.0613109588623044,4.398203481388036
Teff,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2015,17.287435745125386,7,5.737385272979736,4.398203481388036
Teff,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2016,22.124439951199204,7,15.649603843688965,4.398203481388036
Teff,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,17.9624681262409,7,6.188476085662842,4.398203481388036
Teff,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,19.140756891734565,7,9.680967140197755,4.398203481388036
Teff,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2019,19.201012974354757,7,9.264859580993651,4.398203481388036
Teff,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2020,19.995277760633783,7,10.707714462280276,4.398203481388036
Teff,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2021,15.470618865069222,7,4.344786834716797,4.398203481388036
Teff,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2022,7.599489021945644,4,2.0613109588623044,4.398203481388036
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,15.36333415819251,5,2.308284878730774,3.6100212417565203
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,16.68513786600482,7,2.8949519634246825,3.6100212417565203
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,12.057704429157445,6,2.3236920833587646,3.6100212417565203
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,14.283551600671583,7,2.1217482328414916,3.6100212417565203
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2019,13.49042732292606,7,2.181535911560059,3.6100212417565203
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2020,13.794889696182743,7,1.8244455218315128,3.6100212417565203
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2021,8.88141529481919,6,2.0687623023986816,3.6100212417565203
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2022,5.688926926830359,0,1.7824561595916748,3.6100212417565203
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2015,15.36333415819251,5,2.308284878730774,3.6100212417565203
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2016,16.68513786600482,7,2.8949519634246825,3.6100212417565203
