kebele,crop,seasonal_rainfall_total_mean,onset_date_mean,cessation_date_mean,rainy_days_count_mean,dry_spell_days_mean,onset_delay_days_mean,onset_threshold_mean,rainy_day_threshold_mean,dry_spell_threshold_mean,rainfall_std_dev_mean,rainfall_skewness_mean,mean_temp_season_mean,max_temp_avg_mean,min_temp_avg_mean,gdd_total_mean,gdd_base_temp_mean,heatwave_days_mean,heatwave_threshold_mean,mean_soil_moisture_mean,dry_soil_days_mean,dry_threshold_mean,soil_moisture_std_mean,ndvi_peak_mean,ndvi_scale_mean,ndvi_seasonal_avg_mean,ndvi_start_of_season_mean,ndvi_end_of_season_mean,ndvi_integral_mean,ndvi_threshold_mean,ndvi_anomaly_avg_mean,seasonal_rainfall_total_std,onset_date_std,cessation_date_std,rainy_days_count_std,dry_spell_days_std,onset_delay_days_std,onset_threshold_std,rainy_day_threshold_std,dry_spell_threshold_std,rainfall_std_dev_std,rainfall_skewness_std,mean_temp_season_std,max_temp_avg_std,min_temp_avg_std,gdd_total_std,gdd_base_temp_std,heatwave_days_std,heatwave_threshold_std,mean_soil_moisture_std,dry_soil_days_std,dry_threshold_std,soil_moisture_std_std,ndvi_peak_std,ndvi_scale_std,ndvi_seasonal_avg_std,ndvi_start_of_season_std,ndvi_end_of_season_std,ndvi_integral_std,ndvi_threshold_std,ndvi_anomaly_avg_std,n_years,cluster
7c4a7c99-436a-4ad3-93eb-75a098246cc0,Banana,1.08413218907221,1.0,1.0,0.759773539875281,1.0014252690857446,0.0,0.0,11.230337709188461,11.230337709188461,1.347446272118041,-1.681527271680933,-0.1518707558595546,22.47866612844971,10.392441136125502,2.1063859225335544,14.302391529083275,2.1745649283821167,26.082072067260764,-0.9957637188417666,1.87601363142817,2.0070574283599854,-0.2949930652258353,1.5028475306985408e-05,0.5221821669480562,-3.537132537755625e-05,1.0,1.0,0.00018525898570430712,0.28324826292698513,5.369981223022856e-06,1.0702404780256396,0.0,0.0,0.8564111433795626,0.41802539690636786,0.0,0.0,1.7727191135622076,1.7727191135622076,0.0,0.0,0.530316256663067,0.3851575151583964,0.42983662651016885,0.931416999903902,0.7340116254665584,0.6052092334477902,0.6096541083735911,0.6842882025923576,1.293147351205236,0.2302474565156377,0.0,8.370096795609871e-05,0.04534436767690436,3.7727842689323954e-05,0.0,0.0,8.3000713572118e-05,0.02393847768363883,0.00010642984708966634,16,1
7c4a7c99-436a-4ad3-93eb-75a098246cc0,Bean,0.8867049342893771,1.0,1.0,0.4586914972809034,-0.8704928359127203,2.5,6.044040501117706,12.019073650240898,12.019073650240898,1.1141964586634805,-1.7413358151532288,0.38852391361880045,21.97149888500992,11.588506838280408,-0.35728364760787096,16.82840728759768,0.10676671410216641,26.31454372406008,0.4834846610267303,0.06191365201498107,2.6911850042641166,1.475382821649866,1.5028475306985408e-05,0.5221821669480562,4.256902036783568e-05,1.0,1.0,1.7603547865100164e-05,0.32212028395008907,5.369981223022637e-06,1.0202483553744537,0.0,0.0,0.8017844415809273,0.212578782302839,3.7416573867739418,6.547796951777342,1.9037086617457197,1.9037086617457197,0.0,0.0,0.4946937445437251,0.45344826891393575,0.3384045240252956,0.24813240852508603,0.6805661367458351,0.2689818815323512,0.7743693756622986,1.0016084054621737,0.22879981228926116,1.0795558603195838,0.0,8.370096795609871e-05,0.04534436767690436,6.266756895817334e-05,0.0,0.0,6.65723429462988e-05,0.05166018172643568,0.00010642984708966631,16,6
7c4a7c99-436a-4ad3-93eb-75a098246cc0,"Bean, broad",-0.23017599698087035,1.0,1.0,-0.4336512478897576,0.08532470081675425,5.549382716049383,8.233015517027255,11.650034115638261,11.650034115638261,-0.007301655174016986,-1.1779637129061316,0.08099042017892566,22.1647591239255,11.0508168564547,-0.36503422018370274,16.338140275743296,-0.25768713155432177,25.346057411476437,-0.15396568796145166,-0.1448463563740333,2.959611442942678,-0.22212832056862364,-4.353322632214559e-05,0.49045680707110384,-3.3644923314033282e-06,1.0,1.0,-1.4586950584460666e-05,0.30812650245230583,1.522567474493751e-07,0.7653668524307797,0.0,0.0,0.6702341665468707,0.9734045855645884,8.851467555013881,7.121793269893631,1.6440816075852673,1.6440816075852673,0.6343533263295581,0.794443626746261,1.0846784217292693,0.9078667452186907,0.7739411333912561,0.21490296573274814,0.7003308868408216,0.4790709558048961,1.348559861576861,0.8588312307415163,0.6657910247511081,0.8232747440719046,0.4589621108250289,8.588918248491537e-05,0.046529816382857726,9.204237065663643e-05,0.0,0.0,6.153553697331644e-05,0.038174370468763284,0.00010122933407152358,162,0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,Carrot,1.08413218907221,1.0,1.0,0.759773539875281,1.0014252690857446,0.0,0.0,11.230337709188461,11.230337709188461,1.347446272118041,-1.681527271680933,-0.1518707558595546,22.47866612844971,10.392441136125502,2.1063859225335544,14.302391529083275,2.1745649283821167,26.082072067260764,-0.9957637188417666,1.87601363142817,2.0070574283599854,-0.2949930652258353,1.5028475306985408e-05,0.5221821669480562,-3.537132537755625e-05,1.0,1.0,0.00018525898570430712,0.28324826292698513,5.369981223022856e-06,1.0702404780256396,0.0,0.0,0.8564111433795626,0.41802539690636786,0.0,0.0,1.7727191135622076,1.7727191135622076,0.0,0.0,0.530316256663067,0.3851575151583964,0.42983662651016885,0.931416999903902,0.7340116254665584,0.6052092334477902,0.6096541083735911,0.6842882025923576,1.293147351205236,0.2302474565156377,0.0,8.370096795609871e-05,0.04534436767690436,3.7727842689323954e-05,0.0,0.0,8.3000713572118e-05,0.02393847768363883,0.00010642984708966634,16,1
7c4a7c99-436a-4ad3-93eb-75a098246cc0,Chick-pea,0.05423681409325948,1.0,1.0,-0.24383326877264394,0.8009277115883433,8.0625,11.862989711582486,11.860341638326645,11.860341638326645,0.6250907597364793,-1.9699515574962536,-1.0338444016604726,21.29595898262599,10.293208477713867,-0.5364779288143084,15.872638797760033,0.03952124371907858,24.113303184509295,0.41411791150251065,0.42999190870751214,3.5149629250168806,-0.7724045603438287,1.5028475306985408e-05,0.5221821669480562,7.16831483024049e-05,1.0,1.0,2.252132507398172e-05,0.3396258629179914,5.36998122302299e-06,0.9154189806880891,0.0,0.0,0.783623020932621,0.6841856365264966,10.036392114035136,7.297121174490903,1.689004621325254,1.689004621325254,0.0,0.0,0.48780587541706455,0.2966280238015011,0.5723192298436489,0.13830898838912153,0.3451001378768895,0.5379637630647026,0.4588203852121173,0.6147461842674291,0.5258260809893301,0.652209016055845,0.0,8.370096795609871e-05,0.04534436767690436,4.1734632418423094e-05,0.0,0.0,6.836452790111995e-05,0.02484777422781568,0.00010642984708966632,16,2
7c4a7c99-436a-4ad3-93eb-75a098246cc0,"Chilli, dry",1.107340965845974,1.0,1.0,0.6801377475793154,0.15146677644875672,0.7195121951219512,2.039665607417502,11.826461038938383,11.826461038938383,1.245356021651846,-1.776672148020789,0.1418771948290757,22.294562154028345,10.995919034878572,0.7891489720376855,15.72079542206557,1.0268815649536849,26.23926023157634,-0.20949682859550198,0.9205491671914604,3.015000167125609,0.5128621711344098,1.4749187489437033e-05,0.5220308648807582,1.0920799978852657e-05,1.0,1.0,0.00012003867475174727,0.3049710690474831,-5.31205919639214e-06,0.828594203581632,0.0,0.0,0.7287759323533646,0.9759204286330189,2.7990988481676666,4.985820901503837,1.642140009538379,1.642140009538379,0.10240293190423438,0.09543628552555329,0.5763630968421931,0.5259589918012478,0.5986940201859421,1.416289108059821,1.4942371751682455,1.050718267856152,0.7886625246250601,0.9760073733369473,1.0232616043418368,1.9227294280852603,0.669651357355172,7.283648898709674e-05,0.039458618192539804,6.875494972219226e-05,0.0,0.0,9.468710989767901e-05,0.04400463211484733,0.0001024167920542785,164,5
7c4a7c99-436a-4ad3-93eb-75a098246cc0,Coffee,-1.9174282375822087,1.0,1.0,-1.820165029555651,-0.9341659996270465,2.2,4.721787786483764,11.396919282277425,11.396919282277425,-1.8776630538336243,0.9398581152904938,1.5603046375885072,23.484034047636616,11.846715502469067,-0.4139996101837297,16.87087422688804,-1.1708972231765018,26.66839650472008,-1.6928291648851237,-1.149239087863776,2.299383637110392,0.9617827194588596,-0.00021531324018188265,0.39739628103172603,-8.126023793477104e-05,1.0,1.0,-0.000166156372365727,0.31356854256588584,5.369981223022784e-06,0.330546870242489,0.0,0.0,0.3703951675271151,0.24236540658931788,4.813671007809796,7.392148794702518,3.8067854500487392,3.8067854500487392,0.0,0.0,0.5446817229909712,0.5348511419459672,0.3767850658902773,0.20499231428140258,0.7798525240151127,0.0,0.8073291775187594,0.9096211515239468,0.10861416824923678,0.42693305330573433,0.0,0.0001028729989353396,0.055730670763526675,0.00011863802744921513,0.0,0.0,2.4575195678846086e-05,0.05214041080525899,0.00010642984708966632,15,3
7c4a7c99-436a-4ad3-93eb-75a098246cc0,"Corn, sweet",0.9393427945060454,1.0,1.0,0.518907905799779,-0.8249252092087654,8.125,4.007627795450389,11.943544417619705,11.943544417619705,1.162049921971403,-1.7135012904274205,0.4950085487197408,22.168805431363285,11.50440739025558,-0.16676389307340173,16.626292896270776,0.3589372280387456,26.4531433105469,0.22047014297671416,0.29853538846017963,2.4213035687804223,1.253808086608743,1.5028475306985408e-05,0.5221821669480562,4.256902036783568e-05,1.0,1.0,1.7603547865100164e-05,0.32212028395008907,5.369981223022637e-06,1.0305047245931145,0.0,0.0,0.8044302586493748,0.30701770269612705,14.966072742484359,5.375862514850366,2.025464377155662,2.025464377155662,0.0,0.0,0.5090609072754326,0.47199600404262904,0.3511753553835509,0.2627031665142515,0.7507383392801108,0.33622735191543895,0.7684128984811355,0.9566781704218619,0.8535028227084186,0.4186933899226589,0.0,8.370096795609871e-05,0.04534436767690436,6.266756895817334e-05,0.0,0.0,6.65723429462988e-05,0.05166018172643568,0.00010642984708966631,16,6
7c4a7c99-436a-4ad3-93eb-75a098246cc0,Enset,1.08413218907221,1.0,1.0,0.759773539875281,1.0014252690857446,0.0,0.0,11.230337709188461,11.230337709188461,1.347446272118041,-1.681527271680933,-0.1518707558595546,22.47866612844971,10.392441136125502,2.1063859225335544,14.302391529083275,2.1745649283821167,26.082072067260764,-0.9957637188417666,1.87601363142817,2.0070574283599854,-0.2949930652258353,1.5028475306985408e-05,0.5221821669480562,-3.537132537755625e-05,1.0,1.0,0.00018525898570430712,0.28324826292698513,5.369981223022856e-06,1.0702404780256396,0.0,0.0,0.8564111433795626,0.41802539690636786,0.0,0.0,1.7727191135622076,1.7727191135622076,0.0,0.0,0.530316256663067,0.3851575151583964,0.42983662651016885,0.931416999903902,0.7340116254665584,0.6052092334477902,0.6096541083735911,0.6842882025923576,1.293147351205236,0.2302474565156377,0.0,8.370096795609871e-05,0.04534436767690436,3.7727842689323954e-05,0.0,0.0,8.3000713572118e-05,0.02393847768363883,0.00010642984708966634,16,1
7c4a7c99-436a-4ad3-93eb-75a098246cc0,Garlic,-0.7517081155254909,1.0,1.0,-0.8495657337254804,-0.8136244377861848,5.133333333333334,3.445150739947955,11.426909891764323,11.426909891764323,-0.6553585297478705,-0.3962964731303171,1.142527864854674,22.997172657646296,11.585070875672633,-0.1591513137574686,16.593665568033877,-0.38188370401493815,26.661220906575544,-0.8805964373466622,-0.5042257618501977,2.2464541800816855,0.3882853824282085,-0.0001084691340166807,0.4552782691660355,-7.570023143675397e-05,1.0,1.0,-6.64745092815226e-05,0.28660737785071105,5.3699812230227915e-06,0.609184920697825,0.0,0.0,0.5163681021387673,0.2900034478752675,6.501281924871944,4.235401881129009,2.366954677766166,2.366954677766166,0.0,0.0,0.5484892010558725,0.5025297333002051,0.39989903351139466,0.2592783167365958,0.7747371384201222,0.06945082317375555,0.7622393456652726,0.8289377363459732,0.6720550638493521,0.2841576750338037,0.0,4.540563458299037e-05,0.024598159847018405,7.5143163188007e-05,0.0,0.0,2.0561926334874288e-05,0.03789417012643092,0.00010642984708966632,15,3
