kebele,year,seasonal_rainfall_total,onset_date,cessation_date,rainy_days_count,dry_spell_days,data_quality_flag,onset_delay_days,onset_threshold,rainy_day_threshold,dry_spell_threshold,rainfall_std_dev,rainfall_skewness,mean_temp_season,max_temp_avg,min_temp_avg,gdd_total,gdd_base_temp,heatwave_days,heatwave_threshold,mean_soil_moisture,dry_soil_days,dry_threshold,soil_moisture_std,ndvi_peak,ndvi_scale,ndvi_seasonal_avg,ndvi_start_of_season,ndvi_end_of_season,ndvi_integral,ndvi_threshold,ndvi_anomaly_avg,crop_Banana,crop_Bean,"crop_Bean, broad",crop_Carrot,crop_Chick-pea,"crop_Chilli, dry",crop_Coffee,"crop_Corn, sweet",crop_Enset,crop_Garlic,crop_Lentil,crop_Mandarin,crop_Mango,"crop_Mustard, Ethiopian",crop_Oil flax,crop_Onion,"crop_Pea, dry",crop_Rice,crop_Safflower,crop_Sesame,crop_Sorghum,crop_Soybean,crop_Sweet potato,crop_Teff,crop_Tomato,"crop_Wheat, Emmer","crop_Wheat, bread","crop_Wheat, durum",crop,cluster
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,-0.254189672776038,1,1,-0.3642660858103949,-0.556987564189511,OK,0.0,0.0,11.66847324371338,11.66847324371338,-0.3322678925231085,-1.1532058036360573,0.3387323169636269,22.59499807050153,10.989243505334365,0.2124108242402612,15.420063781738303,-0.0949696970470969,26.29327545166018,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,-9.383137622668012e-05,0.4632081639737442,-0.00015237170223593902,1,1,-6.759992057667137e-05,0.2280044218631658,-0.00013251129321023604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,-0.254189672776038,1,1,-0.3642660858103949,-0.556987564189511,OK,0.0,0.0,11.66847324371338,11.66847324371338,-0.3322678925231085,-1.1532058036360573,0.3387323169636269,22.59499807050153,10.989243505334365,0.2124108242402612,15.420063781738303,-0.0949696970470969,26.29327545166018,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,0.00015483771193810153,0.5979227657157283,9.90061727546805e-05,1,1,3.682275454829969e-05,0.3136050138853824,7.5047971562749e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,-0.254189672776038,1,1,-0.3642660858103949,-0.556987564189511,OK,0.0,0.0,11.66847324371338,11.66847324371338,-0.3322678925231085,-1.1532058036360573,-0.9750904283457908,21.370906066894552,10.334218250621472,-0.2468516045793892,15.41930847167971,0.1740121844852542,24.882373046875024,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,-9.383137622668012e-05,0.4632081639737442,-0.00015237170223593902,1,1,-6.759992057667137e-05,0.2280044218631658,-0.00013251129321023604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,-0.254189672776038,1,1,-0.3642660858103949,-0.556987564189511,OK,0.0,0.0,11.66847324371338,11.66847324371338,-0.3322678925231085,-1.1532058036360573,-0.9750904283457908,21.370906066894552,10.334218250621472,-0.2468516045793892,15.41930847167971,0.1740121844852542,24.882373046875024,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,0.00015483771193810153,0.5979227657157283,9.90061727546805e-05,1,1,3.682275454829969e-05,0.3136050138853824,7.5047971562749e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,0.0023595910540792,1,1,-0.2572146928879495,1.221972582332886,OK,0.0,0.0,12.033307075500488,12.033307075500488,0.6250907597364793,-1.9699515574962536,0.3387323169636269,22.59499807050153,10.989243505334365,0.2124108242402612,15.420063781738303,-0.0949696970470969,26.29327545166018,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,-9.383137622668012e-05,0.4632081639737442,-0.00015237170223593902,1,1,-6.759992057667137e-05,0.2280044218631658,-0.00013251129321023604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,0.0023595910540792,1,1,-0.2572146928879495,1.221972582332886,OK,0.0,0.0,12.033307075500488,12.033307075500488,0.6250907597364793,-1.9699515574962536,0.3387323169636269,22.59499807050153,10.989243505334365,0.2124108242402612,15.420063781738303,-0.0949696970470969,26.29327545166018,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,0.00015483771193810153,0.5979227657157283,9.90061727546805e-05,1,1,3.682275454829969e-05,0.3136050138853824,7.5047971562749e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,0.0023595910540792,1,1,-0.2572146928879495,1.221972582332886,OK,0.0,0.0,12.033307075500488,12.033307075500488,0.6250907597364793,-1.9699515574962536,-0.9750904283457908,21.370906066894552,10.334218250621472,-0.2468516045793892,15.41930847167971,0.1740121844852542,24.882373046875024,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,-9.383137622668012e-05,0.4632081639737442,-0.00015237170223593902,1,1,-6.759992057667137e-05,0.2280044218631658,-0.00013251129321023604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,0.0023595910540792,1,1,-0.2572146928879495,1.221972582332886,OK,0.0,0.0,12.033307075500488,12.033307075500488,0.6250907597364793,-1.9699515574962536,-0.9750904283457908,21.370906066894552,10.334218250621472,-0.2468516045793892,15.41930847167971,0.1740121844852542,24.882373046875024,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,0.00015483771193810153,0.5979227657157283,9.90061727546805e-05,1,1,3.682275454829969e-05,0.3136050138853824,7.5047971562749e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,-0.1896192678290189,1,1,-0.0431119070430589,-0.9361102183664152,OK,0.0,0.0,11.189619064331056,11.189619064331056,-0.3322678925231085,-1.1532058036360573,0.3969870979200907,22.57843199033997,11.089129473712015,-0.2816312080193118,16.565441894531272,-0.0949696970470969,26.36661376953128,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,-2.471223907564666e-05,0.5006529348649329,-1.204110557600908e-05,1,1,-2.372925986822063e-05,0.3333322570058067,3.10272802387492e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,-0.1896192678290189,1,1,-0.0431119070430589,-0.9361102183664152,OK,0.0,0.0,11.189619064331056,11.189619064331056,-0.3322678925231085,-1.1532058036360573,0.3969870979200907,22.57843199033997,11.089129473712015,-0.2816312080193118,16.565441894531272,-0.0949696970470969,26.36661376953128,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,7.391825271877846e-05,0.5540852594041911,9.5982679727896e-05,1,1,6.155601430450926e-05,0.3430378439787934,6.733759095387889e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
