date,soil_moisture_value,COUNT,GlobalID,KK_CODE,KK_NAME,OBJECTID,RK_CODE,RK_NAME,R_CODE,R_NAME,Shape__Are,Shape__Len,T_CODE,T_NAME,UK_CODE,UK_ID,UK_NAME,W_CODE,W_NAME,Z_CODE,Z_NAME,unique_id
2015-04-02,17.154034748772936,4,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c,0,,4268,0,,5,Somali,192745229.713379,133215.956682922,0,,,,,0,SOMALE KILLIL,0,SOMALE KILLIL,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c
2015-04-05,16.56865502334462,4,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c,0,,4268,0,,5,Somali,192745229.713379,133215.956682922,0,,,,,0,SOMALE KILLIL,0,SOMALE KILLIL,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c
2015-04-08,17.49184170562791,4,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c,0,,4268,0,,5,Somali,192745229.713379,133215.956682922,0,,,,,0,SOMALE KILLIL,0,SOMALE KILLIL,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c
2015-04-11,12.189971825374846,4,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c,0,,4268,0,,5,Somali,192745229.713379,133215.956682922,0,,,,,0,SOMALE KILLIL,0,SOMALE KILLIL,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c
2015-04-14,24.069395852933866,4,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c,0,,4268,0,,5,Somali,192745229.713379,133215.956682922,0,,,,,0,SOMALE KILLIL,0,SOMALE KILLIL,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c
2015-04-17,21.517931710406334,4,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c,0,,4268,0,,5,Somali,192745229.713379,133215.956682922,0,,,,,0,SOMALE KILLIL,0,SOMALE KILLIL,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c
2015-04-20,23.659270214556905,4,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c,0,,4268,0,,5,Somali,192745229.713379,133215.956682922,0,,,,,0,SOMALE KILLIL,0,SOMALE KILLIL,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c
2015-04-23,22.432463002804923,4,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c,0,,4268,0,,5,Somali,192745229.713379,133215.956682922,0,,,,,0,SOMALE KILLIL,0,SOMALE KILLIL,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c
2015-04-26,23.339017753424738,4,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c,0,,4268,0,,5,Somali,192745229.713379,133215.956682922,0,,,,,0,SOMALE KILLIL,0,SOMALE KILLIL,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c
2015-04-29,23.235385197275534,4,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c,0,,4268,0,,5,Somali,192745229.713379,133215.956682922,0,,,,,0,SOMALE KILLIL,0,SOMALE KILLIL,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c
2015-05-02,23.61650074379347,4,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c,0,,4268,0,,5,Somali,192745229.713379,133215.956682922,0,,,,,0,SOMALE KILLIL,0,SOMALE KILLIL,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c
2015-05-05,23.760172140065627,4,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c,0,,4268,0,,5,Somali,192745229.713379,133215.956682922,0,,,,,0,SOMALE KILLIL,0,SOMALE KILLIL,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c
2015-05-08,24.779555212490123,4,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c,0,,4268,0,,5,Somali,192745229.713379,133215.956682922,0,,,,,0,SOMALE KILLIL,0,SOMALE KILLIL,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c
2015-05-11,23.89185629199576,4,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c,0,,4268,0,,5,Somali,192745229.713379,133215.956682922,0,,,,,0,SOMALE KILLIL,0,SOMALE KILLIL,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c
2015-05-14,25.248678838282167,4,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c,0,,4268,0,,5,Somali,192745229.713379,133215.956682922,0,,,,,0,SOMALE KILLIL,0,SOMALE KILLIL,00d1fc6c-c0b0-4e5d-a9f4-498eb254071c
